,year_film,year_ceremony,ceremony,category,name,film,winner
3722,1961,1962,34,ACTOR IN A SUPPORTING ROLE,Jackie Gleason,The Hustler,False
3723,1961,1962,34,ACTOR IN A SUPPORTING ROLE,George C. Scott,The Hustler,False
3843,1962,1963,35,ACTOR IN A SUPPORTING ROLE,Ed Begley,Sweet Bird of Youth,True
3844,1962,1963,35,ACTOR IN A SUPPORTING ROLE,Victor Buono,What Ever Happened to Baby Jane?,False
3845,1962,1963,35,ACTOR IN A SUPPORTING ROLE,Telly Savalas,Birdman of Alcatraz,False
3846,1962,1963,35,ACTOR IN A SUPPORTING ROLE,Omar Sharif,Lawrence of Arabia,False
3847,1962,1963,35,ACTOR IN A SUPPORTING ROLE,Terence Stamp,Billy Budd,False
3961,1963,1964,36,ACTOR IN A SUPPORTING ROLE,Nick Adams,Twilight of Honor,False
3962,1963,1964,36,ACTOR IN A SUPPORTING ROLE,Bobby Darin,"Captain Newman, M.D.",False
3963,1963,1964,36,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Hud,True
3964,1963,1964,36,ACTOR IN A SUPPORTING ROLE,Hugh Griffith,Tom Jones,False
3965,1963,1964,36,ACTOR IN A SUPPORTING ROLE,John Huston,The Cardinal,False
4085,1964,1965,37,ACTOR IN A SUPPORTING ROLE,John Gielgud,Becket,False
4086,1964,1965,37,ACTOR IN A SUPPORTING ROLE,Stanley Holloway,My Fair Lady,False
4087,1964,1965,37,ACTOR IN A SUPPORTING ROLE,Edmond O'Brien,Seven Days in May,False
4088,1964,1965,37,ACTOR IN A SUPPORTING ROLE,Lee Tracy,The Best Man,False
4089,1964,1965,37,ACTOR IN A SUPPORTING ROLE,Peter Ustinov,Topkapi,True
4207,1965,1966,38,ACTOR IN A SUPPORTING ROLE,Martin Balsam,A Thousand Clowns,True
4208,1965,1966,38,ACTOR IN A SUPPORTING ROLE,Ian Bannen,The Flight of the Phoenix,False
4209,1965,1966,38,ACTOR IN A SUPPORTING ROLE,Tom Courtenay,Doctor Zhivago,False
4210,1965,1966,38,ACTOR IN A SUPPORTING ROLE,Michael Dunn,Ship of Fools,False
4211,1965,1966,38,ACTOR IN A SUPPORTING ROLE,Frank Finlay,Othello,False
4332,1966,1967,39,ACTOR IN A SUPPORTING ROLE,Mako,The Sand Pebbles,False
4333,1966,1967,39,ACTOR IN A SUPPORTING ROLE,James Mason,Georgy Girl,False
4334,1966,1967,39,ACTOR IN A SUPPORTING ROLE,Walter Matthau,The Fortune Cookie,True
4335,1966,1967,39,ACTOR IN A SUPPORTING ROLE,George Segal,Who's Afraid of Virginia Woolf?,False
4336,1966,1967,39,ACTOR IN A SUPPORTING ROLE,Robert Shaw,A Man for All Seasons,False
4456,1967,1968,40,ACTOR IN A SUPPORTING ROLE,John Cassavetes,The Dirty Dozen,False
4457,1967,1968,40,ACTOR IN A SUPPORTING ROLE,Gene Hackman,Bonnie and Clyde,False
4458,1967,1968,40,ACTOR IN A SUPPORTING ROLE,Cecil Kellaway,Guess Who's Coming to Dinner,False
4459,1967,1968,40,ACTOR IN A SUPPORTING ROLE,George Kennedy,Cool Hand Luke,True
4460,1967,1968,40,ACTOR IN A SUPPORTING ROLE,Michael J. Pollard,Bonnie and Clyde,False
4565,1968,1969,41,ACTOR IN A SUPPORTING ROLE,Jack Albertson,The Subject Was Roses,True
4566,1968,1969,41,ACTOR IN A SUPPORTING ROLE,Seymour Cassel,Faces,False
4567,1968,1969,41,ACTOR IN A SUPPORTING ROLE,Daniel Massey,Star!,False
4568,1968,1969,41,ACTOR IN A SUPPORTING ROLE,Jack Wild,Oliver!,False
4569,1968,1969,41,ACTOR IN A SUPPORTING ROLE,Gene Wilder,The Producers,False
4673,1969,1970,42,ACTOR IN A SUPPORTING ROLE,Rupert Crosse,The Reivers,False
4674,1969,1970,42,ACTOR IN A SUPPORTING ROLE,Elliott Gould,Bob & Carol & Ted & Alice,False
4675,1969,1970,42,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Easy Rider,False
4676,1969,1970,42,ACTOR IN A SUPPORTING ROLE,Anthony Quayle,Anne of the Thousand Days,False
4677,1969,1970,42,ACTOR IN A SUPPORTING ROLE,Gig Young,"They Shoot Horses, Don't They?",True
4778,1970,1971,43,ACTOR IN A SUPPORTING ROLE,Richard Castellano,Lovers and Other Strangers,False
4779,1970,1971,43,ACTOR IN A SUPPORTING ROLE,Chief Dan George,Little Big Man,False
4780,1970,1971,43,ACTOR IN A SUPPORTING ROLE,Gene Hackman,I Never Sang for My Father,False
4781,1970,1971,43,ACTOR IN A SUPPORTING ROLE,John Marley,Love Story,False
4782,1970,1971,43,ACTOR IN A SUPPORTING ROLE,John Mills,Ryan's Daughter,True
4885,1971,1972,44,ACTOR IN A SUPPORTING ROLE,Jeff Bridges,The Last Picture Show,False
4886,1971,1972,44,ACTOR IN A SUPPORTING ROLE,Leonard Frey,Fiddler on the Roof,False
4887,1971,1972,44,ACTOR IN A SUPPORTING ROLE,Richard Jaeckel,Sometimes a Great Notion,False
4888,1971,1972,44,ACTOR IN A SUPPORTING ROLE,Ben Johnson,The Last Picture Show,True
4889,1971,1972,44,ACTOR IN A SUPPORTING ROLE,Roy Scheider,The French Connection,False
4989,1972,1973,45,ACTOR IN A SUPPORTING ROLE,Eddie Albert,The Heartbreak Kid,False
4990,1972,1973,45,ACTOR IN A SUPPORTING ROLE,James Caan,The Godfather,False
4991,1972,1973,45,ACTOR IN A SUPPORTING ROLE,Robert Duvall,The Godfather,False
4992,1972,1973,45,ACTOR IN A SUPPORTING ROLE,Joel Grey,Cabaret,True
4993,1972,1973,45,ACTOR IN A SUPPORTING ROLE,Al Pacino,The Godfather,False
5093,1973,1974,46,ACTOR IN A SUPPORTING ROLE,Vincent Gardenia,Bang the Drum Slowly,False
5094,1973,1974,46,ACTOR IN A SUPPORTING ROLE,Jack Gilford,Save the Tiger,False
