,year_film,year_ceremony,ceremony,category,name,film,winner
2901,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Katy Jurado,Broken Lance,False
2902,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Eva Marie Saint,On the Waterfront,True
2903,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Jan Sterling,The High and the Mighty,False
2904,1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,The High and the Mighty,False
3027,1955,1956,28,ACTRESS IN A SUPPORTING ROLE,Betsy Blair,Marty,False
3028,1955,1956,28,ACTRESS IN A SUPPORTING ROLE,Peggy Lee,Pete Kelly's Blues,False
3029,1955,1956,28,ACTRESS IN A SUPPORTING ROLE,Marisa Pavan,The Rose Tattoo,False
3030,1955,1956,28,ACTRESS IN A SUPPORTING ROLE,Jo Van Fleet,East of Eden,True
3031,1955,1956,28,ACTRESS IN A SUPPORTING ROLE,Natalie Wood,Rebel without a Cause,False
3149,1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Mildred Dunnock,Baby Doll,False
3150,1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Eileen Heckart,The Bad Seed,False
3151,1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,Giant,False
3152,1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Patty McCormack,The Bad Seed,False
3153,1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Dorothy Malone,Written on the Wind,True
3277,1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Carolyn Jones,The Bachelor Party,False
3278,1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Elsa Lanchester,Witness for the Prosecution,False
3279,1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Hope Lange,Peyton Place,False
3280,1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki,Sayonara,True
3281,1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Diane Varsi,Peyton Place,False
3377,1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Peggy Cass,Auntie Mame,False
3378,1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller,Separate Tables,True
3379,1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Martha Hyer,Some Came Running,False
3380,1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Lonelyhearts,False
3381,1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Cara Williams,The Defiant Ones,False
3488,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Hermione Baddeley,Room at the Top,False
3489,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Susan Kohner,Imitation of Life,False
3490,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Juanita Moore,Imitation of Life,False
3491,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,Pillow Talk,False
3492,1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,The Diary of Anne Frank,True
3607,1960,1961,33,ACTRESS IN A SUPPORTING ROLE,Glynis Johns,The Sundowners,False
3608,1960,1961,33,ACTRESS IN A SUPPORTING ROLE,Shirley Jones,Elmer Gantry,True
3609,1960,1961,33,ACTRESS IN A SUPPORTING ROLE,Shirley Knight,The Dark at the Top of the Stairs,False
3610,1960,1961,33,ACTRESS IN A SUPPORTING ROLE,Janet Leigh,Psycho,False
3611,1960,1961,33,ACTRESS IN A SUPPORTING ROLE,Mary Ure,Sons and Lovers,False
3729,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,The Children's Hour,False
3730,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Judy Garland,Judgment at Nuremberg,False
3731,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Lotte Lenya,The Roman Spring of Mrs. Stone,False
3732,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Una Merkel,Summer and Smoke,False
3733,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Rita Moreno,West Side Story,True
3853,1962,1963,35,ACTRESS IN A SUPPORTING ROLE,Mary Badham,To Kill a Mockingbird,False
3854,1962,1963,35,ACTRESS IN A SUPPORTING ROLE,Patty Duke,The Miracle Worker,True
3855,1962,1963,35,ACTRESS IN A SUPPORTING ROLE,Shirley Knight,Sweet Bird of Youth,False
3856,1962,1963,35,ACTRESS IN A SUPPORTING ROLE,Angela Lansbury,The Manchurian Candidate,False
3857,1962,1963,35,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,Birdman of Alcatraz,False
3971,1963,1964,36,ACTRESS IN A SUPPORTING ROLE,Diane Cilento,Tom Jones,False
3972,1963,1964,36,ACTRESS IN A SUPPORTING ROLE,Dame Edith Evans,Tom Jones,False
3973,1963,1964,36,ACTRESS IN A SUPPORTING ROLE,Joyce Redman,Tom Jones,False
3974,1963,1964,36,ACTRESS IN A SUPPORTING ROLE,Margaret Rutherford,The V.I.P.s,True
3975,1963,1964,36,ACTRESS IN A SUPPORTING ROLE,Lilia Skala,Lilies of the Field,False
4095,1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Gladys Cooper,My Fair Lady,False
4096,1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Dame Edith Evans,The Chalk Garden,False
4097,1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Grayson Hall,The Night of the Iguana,False
4098,1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Lila Kedrova,Zorba the Greek,True
4099,1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,"Hush...Hush, Sweet Charlotte",False
4217,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Inside Daisy Clover,False
4218,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Joyce Redman,Othello,False
4219,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,Othello,False
4220,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,A Patch of Blue,True
4221,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Peggy Wood,The Sound of Music,False
4342,1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Sandy Dennis,Who's Afraid of Virginia Woolf?,True
4343,1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller,A Man for All Seasons,False
4344,1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Jocelyne Lagarde,Hawaii,False
4345,1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Vivien Merchant,Alfie,False
4346,1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Geraldine Page,You're a Big Boy Now,False
4466,1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Carol Channing,Thoroughly Modern Millie,False
4467,1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Mildred Natwick,Barefoot in the Park,False
4468,1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Estelle Parsons,Bonnie and Clyde,True
4469,1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Beah Richards,Guess Who's Coming to Dinner,False
4470,1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Katharine Ross,The Graduate,False
4575,1968,1969,41,ACTRESS IN A SUPPORTING ROLE,Lynn Carlin,Faces,False
4576,1968,1969,41,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Rosemary's Baby,True
